acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0.14;0.82;144009.00;0.56;0.00;-11.32;0.33;126.55;7;nivel 8
0.02;0.46;192881.00;0.66;0.00;-5.94;0.10;176.79;8;nivel 8
0.13;0.63;277107.00;0.68;0.00;-7.13;0.21;79.31;5;nivel 8
0.00;0.73;124337.50;0.72;0.01;-4.26;0.12;155.52;1;nivel 8
0.37;0.33;218755.00;0.45;0.00;-5.36;0.03;123.83;10;nivel 8
0.09;0.62;244707.00;0.53;0.00;-11.52;0.07;158.86;3;nivel 8
0.04;0.88;231848.00;0.78;0.00;-4.25;0.12;102.02;1;nivel 8
0.03;0.62;228980.00;0.86;0.00;-4.33;0.11;98.06;5;nivel 8
0.70;0.48;141395.00;0.75;0.86;-4.18;0.07;160.01;1;nivel 8
0.41;0.68;186878.00;0.70;0.00;-5.59;0.04;120.03;6;nivel 9
0.19;0.87;161668.00;0.56;0.00;-6.96;0.11;127.95;11;nivel 9
0.35;0.46;202002.75;0.44;0.00;-7.15;0.04;102.09;0;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.20;0.68;202008.00;0.52;0.00;-6.37;0.05;120.07;0;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.00;0.51;155515.75;0.97;0.69;-5.93;0.07;133.12;7; nivel 2
0.94;0.70;150302.25;0.34;0.89;-17.62;0.07;114.02;4;nivel 1
0.10;0.39;241339.88;0.78;0.00;-6.77;0.07;125.06;0;nivel 4
0.28;0.50;262991.58;0.50;0.09;-12.34;0.06;120.32;7;nivel 4
0.42;0.43;362451.50;0.43;0.02;-10.70;0.05;167.94;4;nivel 4
0.58;0.51;255737.47;0.47;0.04;-11.38;0.06;125.86;7;nivel 4
0.40;0.61;142646.63;0.51;0.00;-11.46;0.06;130.92;7;nivel 4
0.91;0.28;553890.78;0.15;0.53;-18.79;0.07;101.30;5;nivel 1
0.09;0.76;221232.31;0.47;0.37;-11.26;0.12;124.71;1;nivel 4
0.98;0.54;160585.63;0.33;0.93;-15.74;0.06;107.32;1;nivel 1
0.01;0.50;325967.75;0.95;0.05;-3.75;0.07;149.99;0; nivel 2
0.69;0.53;333565.00;0.35;0.67;-12.75;0.04;94.85;0;nivel 3
0.91;0.50;241345.71;0.35;0.81;-15.65;0.08;114.17;5; nivel 2
0.68;0.32;182301.75;0.42;0.56;-12.60;0.04;109.07;9;nivel 4
0.03;0.66;295693.38;0.54;0.00;-12.99;0.08;146.04;5;nivel 4
0.77;0.70;134658.38;0.12;0.00;-26.10;0.90;91.81;8;nivel 1
0.95;0.34;202064.18;0.15;0.26;-20.98;0.04;100.45;2;nivel 3
0.96;0.37;209660.85;0.19;0.08;-17.04;0.10;100.40;0;nivel 1
0.94;0.28;165415.00;0.13;0.00;-17.15;0.05;104.30;8; nivel 2
0.98;0.61;188393.23;0.50;0.63;-7.55;0.05;116.48;3;nivel 1
0.86;0.53;202277.05;0.46;0.76;-16.47;0.20;112.17;9; nivel 2
0.94;0.34;379489.21;0.12;0.39;-19.23;0.05;106.70;2;nivel 1
0.55;0.53;442471.81;0.65;0.00;-9.66;0.12;124.20;10;nivel 3
0.00;0.51;86713.87;0.90;0.82;-6.46;0.07;130.89;8; nivel 2
0.84;0.27;369582.04;0.17;0.68;-21.45;0.05;102.16;8; nivel 2
0.46;0.58;186040.50;0.37;0.00;-9.30;0.04;135.91;3; nivel 2
0.05;0.72;420720.00;0.75;0.00;-9.38;0.06;97.20;10;nivel 7
0.02;0.41;172473.00;0.50;0.60;-7.52;0.04;55.80;11;nivel 7
0.14;0.20;131775.00;1.00;1.00;-15.92;0.05;83.60;3;nivel 7
0.96;0.63;112872.00;0.33;0.00;-9.23;0.05;119.81;0;nivel 7
0.39;0.51;186503.38;0.40;0.13;-13.79;0.03;119.79;0;nivel 4
0.54;0.44;195377.67;0.80;0.00;-7.36;0.39;167.46;11;nivel 7
0.26;0.49;225515.00;0.59;0.00;-4.40;0.04;123.77;8;nivel 7
0.17;0.55;177495.50;0.65;0.22;-7.49;0.05;119.41;11;nivel 7
0.04;0.67;241240.00;0.72;0.00;-6.35;0.03;115.04;10;nivel 7
0.81;0.50;210008.00;0.22;0.00;-8.23;0.04;120.93;3;nivel 7
0.01;0.52;259231.00;0.96;0.00;-2.66;0.05;155.93;10;nivel 7
0.18;0.60;245868.25;0.57;0.00;-7.12;0.12;104.58;0;nivel 7
0.07;0.65;294493.00;0.88;0.00;-5.14;0.03;102.52;2;nivel 7
0.01;0.67;246719.80;0.69;0.00;-6.74;0.09;126.55;0;nivel 7
0.17;0.57;239707.00;0.67;0.00;-6.61;0.03;135.96;2;nivel 7
0.72;0.37;181769.70;0.30;0.01;-12.83;0.04;103.20;7;nivel 3
0.16;0.65;219773.71;0.68;0.00;-5.56;0.24;116.65;10;nivel 7
0.73;0.63;158044.88;0.46;0.00;-10.29;0.04;113.94;0; nivel 2
0.13;0.28;320020.00;0.64;0.22;-14.25;0.05;141.69;8;nivel 3
0.12;0.62;245296.00;0.84;0.00;-5.70;0.04;126.98;7;nivel 7
0.17;0.68;222960.00;0.73;0.00;-5.71;0.12;97.86;7;nivel 7
0.52;0.80;272245.67;0.71;0.01;-8.50;0.04;115.34;11;nivel 7
0.03;0.72;367307.00;0.46;0.79;-11.33;0.04;110.99;11;nivel 7
0.14;0.57;213183.00;0.68;0.00;-7.05;0.05;89.01;6;nivel 7
0.22;0.33;309093.00;0.68;0.00;-6.37;0.05;148.03;0;nivel 7
0.02;0.49;283515.75;0.86;0.00;-4.92;0.06;125.41;11;nivel 7
0.20;0.52;191600.25;0.70;0.00;-5.30;0.05;140.68;6;nivel 7
0.03;0.63;388279.88;0.73;0.15;-7.23;0.06;112.44;2;nivel 1
0.22;0.19;230958.00;0.98;0.97;-19.76;0.07;116.82;2;nivel 7
0.06;0.55;217609.50;0.75;0.00;-5.66;0.06;132.12;6;nivel 7
0.00;0.49;203146.67;0.90;0.00;-4.43;0.07;148.84;8;nivel 7
0.01;0.27;237347.00;0.79;0.00;-4.39;0.04;179.07;2;nivel 7
0.01;0.68;196946.50;0.82;0.00;-5.15;0.06;115.94;7;nivel 7
0.66;0.57;175360.00;0.75;0.43;-6.63;0.08;180.60;10;nivel 7
0.99;0.30;256280.00;0.02;0.93;-29.31;0.04;64.72;1;nivel 7
0.99;0.30;220773.00;0.04;0.86;-29.73;0.04;72.28;0;nivel 7
