danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,32;343627;0,07;0;0,11;-24,22;0,05;104,17;0;35
0,34;91080;0,08;0;0,54;-23,81;0,04;80,01;7;49
0,53;130907;0,33;0;0,27;-10,92;0,12;106,14;1;7
0,57;139920;0,96;0;0,13;-4,63;0,08;129,96;6;51
0,76;205093;0,9;0;0,14;-4,78;0,11;94,07;1;48
0,53;362933;0,29;0;0,25;-16,51;0,03;116,15;2;31
0,77;257400;0,81;0;0,03;-7,78;0,06;107,71;1;42
0,8;236160;0,76;0;0,14;-6,5;0,12;125,08;9;4
0,7;236469;0,88;0;0,11;-3,83;0,07;124,98;9;0
0,68;247693;0,89;0;0,46;-4,86;0,26;94,09;1;62
0,18;282307;0,14;0,41;0,14;-21,09;0,04;97,93;4;2
0,66;198600;0,36;0;0,06;-15,49;0,03;106,19;5;31
0,42;248573;0,47;0;0,66;-12,36;0,08;141,61;6;22
0,44;170800;0,39;0;0,66;-12,13;0,03;110,99;5;0
0,53;217367;0,92;0;0,04;-4,7;0,32;180,07;11;58
0,48;90438;0,93;0,71;0,27;-10,63;0,04;137,96;6;9
0,64;272467;0,22;0,41;0,08;-16,6;0,03;106;0;29
0,8;173571;0,58;0;0,28;-9,34;0,12;127,13;10;0
0,8;112742;0,41;0;0,05;-8,33;0,37;77,88;9;68
0,51;66427;0,89;0,82;0,09;-6,73;0,03;130,06;1;5
0,42;142693;0,93;0,01;0,35;-5,83;0,14;155,05;1;0
0,48;171240;0,85;0;0,14;-4,43;0,1;132,7;10;27
0,56;143370;0,52;0;0,35;-6,55;0,05;81,54;7;0
0,42;486945;0,58;0;0,12;-6,86;0,03;144,98;9;61
0,62;155040;0,84;0;0,06;-3,91;0,15;171,86;2;48
0,62;242293;0,9;0,01;0,29;-10,39;0,04;114,71;5;39
0,65;173659;0,87;0;0,41;-5,21;0,1;123,05;4;14
0,27;278133;0,31;0;0,38;-11;0,04;88,56;3;1
0,28;316067;0,38;0,58;0,15;-9,87;0,04;97,22;8;1
0,76;153082;0,33;0;0,22;-11,15;0,05;152,52;0;0
0,33;251333;0,33;0;0,15;-8,54;0,03;132,31;1;2
0,42;307907;0,49;0;0,12;-6,18;0,03;69,74;0;3
0,71;198867;0,4;0;0,34;-7,72;0,07;149,99;0;37
0,67;171867;0,63;0;0,17;-6,84;0,29;75,29;4;73
0,45;57313;0,99;0,92;0,36;-9,35;0,05;137,98;1;7
0,84;464400;0,69;0,73;0,08;-4,31;0,07;126;4;0
0,51;98094;0,95;0,84;0,37;-7,37;0,05;136,99;6;7
0,72;93747;0,76;0,38;0,06;-8,04;0,09;120,11;1;44
0,31;317960;0,3;0;0,1;-12,34;0,04;78,3;9;0
0,68;153573;0,58;0,12;0,1;-5,01;0,04;92,36;7;24
0,76;354043;0,59;0,9;0,09;-11,67;0,04;122,04;7;5
0,64;135500;0,63;0,82;0,11;-7,12;0,05;145,18;0;17
0,63;189893;0,4;0,07;0,1;-9,29;0,07;138,14;8;0
0,49;137038;0,22;0,88;0,25;-13,81;0,06;109,94;4;0
0,54;208004;0,46;0;0,15;-6,76;0,03;93,25;2;0
0,71;74684;0,09;0;0,09;-12,4;0,16;96,55;9;0
0,7;178307;0,4;0,01;0,1;-11,87;0,05;110,76;0;0
0,54;208004;0,46;0;0,15;-6,76;0,03;93,25;2;0
0,61;111530;0,37;0;0,34;-14,8;0,94;61,61;11;0
0,57;185017;0,28;0,01;0,13;-13,13;0,07;167,27;10;0
0,68;198827;0,28;0,12;0,11;-13,63;0,05;104,39;11;0
0,53;206498;0,46;0,33;0,71;-12,85;0,04;72,17;9;0
0,59;223187;0,29;0,08;0,13;-8,67;0,03;112,67;10;0
0,58;182480;0,26;0,11;0,16;-9,96;0,03;112,61;2;1
0,35;203493;0,18;0,89;0,13;-17,78;0,05;94,38;10;0
0,57;207720;0,41;0;0,08;-9,08;0,06;148,56;1;0
0,57;195867;0,51;0,85;0,09;-9,02;0,05;119,4;1;0
0,62;192587;0,38;0;0,33;-10,87;0,04;71,09;9;0
0,64;198107;0,3;0;0,16;-10,57;0,05;98,15;10;0
0,51;201627;0,19;0,05;0,28;-11,81;0,04;86,43;6;0
0,4;167893;0,39;0,13;0,5;-12,09;0,06;59,38;1;0
0,57;185017;0,28;0,01;0,13;-13,13;0,07;167,27;10;0
0,53;231854;0,88;0,06;0,3;-7,14;0,22;79,93;4;0
0,54;256623;0,48;0;0,97;-15,27;0,84;127,34;11;0
0,68;275480;0,78;0;0,21;-10,16;0,07;108,47;0;51
0,68;259698;0,86;0,82;0,27;-8,47;0,16;129,61;4;2
0,74;371728;0,75;0,03;0,07;-7,22;0,07;128;6;0
0,81;147650;0,42;0,82;0,1;-10,99;0,06;127,96;2;0
0,66;308347;0,88;0;0,24;-5,46;0,05;125,04;7;47
0,74;168625;0,25;0,02;0,23;-7,37;0,35;130,26;7;0
0,61;185533;0,42;0;0,1;-12,89;0,03;126,13;4;40
0,2;475387;0,04;0,01;0,09;-28,13;0,05;97,15;3;38
0,61;73853;0,8;0,18;0,12;-6,06;0,04;130,03;10;7
0,16;192746,5;0,07;0,5;0,17;-21,77;0,04;80,95;3;12
0,69;320267;0,42;0;0,07;-11,31;0,09;76,84;2;36
0,58;138154;0,06;0,96;0,09;-23,99;0,05;77,72;9;62
0,26;228389;0,95;0;0,77;-4,02;0,27;152,35;1;0
0,56;148653;0,52;0,11;0,08;-12,98;0,03;124,39;2;21
0,12;284735;0,18;0,8;0,9;-21,84;0,04;83,16;4;0
0,39;250827;1;0;0,83;-5,03;0,19;116,16;10;0
0,16;264232;0,2;0,86;0,12;-13,97;0,04;72,04;10;0
0,58;385000;0,82;0,9;0,12;-6,82;0,07;121;10;0
0,61;226302;0,77;0;0,2;-7,6;0,19;119,99;10;13
0,73;220867;0,59;0;0,22;-5,24;0,05;91,79;2;54
0,42;235900;0,07;0,93;0,1;-23,1;0,05;133;2;0
0,69;254640;0,71;0,05;0,08;-7,56;0,05;84,98;10;20
0,36;235080;0,86;0,01;0,16;-4,53;0,04;140,05;5;1
0,91;176240;0,13;0,09;0,07;-17,63;0,09;118,68;2;44
0,67;318642;0,7;0,42;0,33;-6,95;0,17;172;11;0
0,61;214347;0,65;0;0,2;-7,28;0,03;76,01;0;8
0,61;248787;0,92;0;0,2;-7,16;0,07;83,13;1;1
0,77;204567;0,98;0;0,56;-2,76;0,12;126,95;5;0
0,51;208283;0,18;0;0,73;-10,14;0,14;67,72;7;0
0,73;317035;0,91;0,67;0,15;-5,26;0,05;121,01;11;25
0,44;293136;0,6;0,76;0,09;-7,04;0,11;174,1;11;0
0,57;42893;0,2;0;0,09;-6,56;0,04;120,14;0;52
0,52;224000;0,89;0,01;0,11;-8,35;0,05;135,03;8;10
0,78;103493;0,11;0;0,46;-14,42;0,34;139,89;4;55
0,5;368373;0,55;0,01;0,08;-5,42;0,03;90,04;2;56
0,7;195000;0,56;0;0,21;-6,05;0,04;76,95;11;0
0,59;173827;0,41;0;0,06;-8,89;0,26;142,45;0;28
0,35;263012;0,61;0;0,4;-5,77;0,03;152,18;4;12
0,62;263787;0,26;0;0,08;-14,09;0,04;73,09;2;54
0,83;225000;0,87;0;0,05;-6,74;0,05;116,98;1;0
0,36;144500;0,02;0,97;0,08;-27,87;0,06;114,35;0;66
0,8;192760;0,69;0;0,28;-5,84;0,08;96,99;6;65
